company_name,domain,score,num_pages,pages_with_both,distinct_queries,serp_snippet_hits,avg_proximity,avg_page_length,social_flag,num_pages_scaled,pages_with_both_scaled,distinct_queries_scaled,serp_snippet_hits_scaled,inv_proximity_scaled,avg_page_length_scaled,country,date_collected
Allo Monisnap,allo.monisnap.com,0.13497403686261727,5,5,4,8,67.4,4873.8,0,0.12903225806451613,0.1724137931034483,0.21428571428571427,0.09876543209876543,0.029239766081871343,9.728125460203728e-05,Mali,2026-03-20
DGI Gouv ML,dgi.gouv.ml,0.12282417246686819,3,2,3,3,6.5,1095541.3333333333,0,0.06451612903225806,0.06896551724137931,0.14285714285714285,0.037037037037037035,0.26666666666666666,0.021867051453702525,Mali,2026-03-20
Financesonefiles Worldbank,financesonefiles.worldbank.org,0.11001391247865948,1,1,1,1,8.0,50100094.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.2222222222222222,1.0,Mali,2026-03-20
Bceao INT,bceao.int,0.10690782275742478,3,3,3,5,15.666666666666666,1487179.3333333333,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.06172839506172839,0.12000000000000002,0.02968416253537036,Mali,2026-03-20
Paybindi,paybindi.com,0.1063713063466996,2,2,2,24,11.5,11549.0,0,0.03225806451612903,0.06896551724137931,0.07142857142857142,0.2962962962962963,0.16,0.00023051852956603236,Mali,2026-03-20
Bank of Africa - BOA-Mali,boamali.com,0.1052873549628825,4,3,3,4,16.0,4616.5,0,0.0967741935483871,0.10344827586206896,0.14285714285714285,0.04938271604938271,0.11764705882352941,9.214553569500289e-05,Mali,2026-03-20
Paiement en plusieurs fois,pixmania.com,0.10191213054918205,3,3,3,3,16.333333333333332,30660.666666666668,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.037037037037037035,0.11538461538461539,0.0006119882063827398,Mali,2026-03-20
Wearetech Africa,wearetech.africa,0.10092288085134515,3,3,2,3,9.0,5103.333333333333,0,0.06451612903225806,0.10344827586206896,0.07142857142857142,0.037037037037037035,0.2,0.00010186274966536656,Mali,2026-03-20
Afgbankmali,afgbankmali.com,0.10059466368059948,3,3,3,5,19.666666666666668,5616.333333333333,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.06172839506172839,0.0967741935483871,0.00011210225141161079,Mali,2026-03-20
Apple,apple.com,0.09404957557271976,3,3,2,3,11.0,4663.0,0,0.06451612903225806,0.10344827586206896,0.07142857142857142,0.037037037037037035,0.16666666666666666,9.307367766615368e-05,Mali,2026-03-20
